query_index,gt_rank,ap,precision_5,precision_10,recall_5,recall_10,f1_5,f1_10
0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.14285714285714285,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
3,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
4,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
7,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
8,7,0.14285714285714285,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
9,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
13,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
16,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
17,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
18,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
19,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
20,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
21,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
22,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
23,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
26,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
29,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
30,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
31,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
34,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
37,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
38,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
40,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
41,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
43,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
44,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
